requested_url,strata,user_agent_key,user_agent,final_url,redirect_chain,status,content_type,response_time_ms,canonical_url,robots_meta,googlebot_meta,x_robots_tag,title,h1_count,h1_text,visible_words,body_content_sha256,json_ld_types,challenge_detected,body_hash_differs_from_desktop,word_count_delta_ratio_from_desktop,materially_different_from_desktop,different_fields,body_read_warning,error
https://www.suvroghosh.in/,homepage | representative_fill,desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",https://www.suvroghosh.in/,https://www.suvroghosh.in/,200,text/html; charset=utf-8,70.34,https://www.suvroghosh.in/,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",,,Suvro Ghosh | Healthcare IT Architect & Clinical Data Systems Consultant,1,Suvro Ghosh,709,2cbdf72b2807786ce7847b518a900b91b928a4b8dd8a130b7e52deca3e696e5a,Person | WebSite,false,false,0,false,,,
https://www.suvroghosh.in/,homepage | representative_fill,mobile,"Mozilla/5.0 (Linux; Android 16; Pixel 9 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36",https://www.suvroghosh.in/,https://www.suvroghosh.in/,200,text/html; charset=utf-8,79.95,https://www.suvroghosh.in/,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",,,Suvro Ghosh | Healthcare IT Architect & Clinical Data Systems Consultant,1,Suvro Ghosh,709,2cbdf72b2807786ce7847b518a900b91b928a4b8dd8a130b7e52deca3e696e5a,Person | WebSite,false,false,0,false,,,
https://www.suvroghosh.in/,homepage | representative_fill,googlebot,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",https://www.suvroghosh.in/,https://www.suvroghosh.in/,200,text/html; charset=utf-8,486.65,https://www.suvroghosh.in/,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",,,Suvro Ghosh | Healthcare IT Architect & Clinical Data Systems Consultant,1,Suvro Ghosh,709,2cbdf72b2807786ce7847b518a900b91b928a4b8dd8a130b7e52deca3e696e5a,Person | WebSite,false,false,0,false,,,
https://www.suvroghosh.in/,homepage | representative_fill,bingbot,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36 Edg/131.0.0.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)",https://www.suvroghosh.in/,https://www.suvroghosh.in/,200,text/html; charset=utf-8,63.72,https://www.suvroghosh.in/,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",,,Suvro Ghosh | Healthcare IT Architect & Clinical Data Systems Consultant,1,Suvro Ghosh,709,2cbdf72b2807786ce7847b518a900b91b928a4b8dd8a130b7e52deca3e696e5a,Person | WebSite,false,false,0,false,,,
https://www.suvroghosh.in/,homepage | representative_fill,oai-searchbot,OAI-SearchBot/1.0; +https://openai.com/searchbot,https://www.suvroghosh.in/,https://www.suvroghosh.in/,200,text/html; charset=utf-8,154.17,https://www.suvroghosh.in/,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",,,Suvro Ghosh | Healthcare IT Architect & Clinical Data Systems Consultant,1,Suvro Ghosh,709,2cbdf72b2807786ce7847b518a900b91b928a4b8dd8a130b7e52deca3e696e5a,Person | WebSite,false,false,0,false,,,
https://www.suvroghosh.in/,homepage | representative_fill,chatgpt-user,ChatGPT-User/1.0; +https://openai.com/bot,https://www.suvroghosh.in/,https://www.suvroghosh.in/,200,text/html; charset=utf-8,62.46,https://www.suvroghosh.in/,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",,,Suvro Ghosh | Healthcare IT Architect & Clinical Data Systems Consultant,1,Suvro Ghosh,709,2cbdf72b2807786ce7847b518a900b91b928a4b8dd8a130b7e52deca3e696e5a,Person | WebSite,false,false,0,false,,,
https://www.suvroghosh.in/,homepage | representative_fill,claude-searchbot,Claude-SearchBot/1.0; +https://anthropic.com/claude-searchbot,https://www.suvroghosh.in/,https://www.suvroghosh.in/,200,text/html; charset=utf-8,80.71,https://www.suvroghosh.in/,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",,,Suvro Ghosh | Healthcare IT Architect & Clinical Data Systems Consultant,1,Suvro Ghosh,709,2cbdf72b2807786ce7847b518a900b91b928a4b8dd8a130b7e52deca3e696e5a,Person | WebSite,false,false,0,false,,,
https://www.suvroghosh.in/,homepage | representative_fill,perplexitybot,PerplexityBot/1.0; +https://perplexity.ai/perplexitybot,https://www.suvroghosh.in/,https://www.suvroghosh.in/,200,text/html; charset=utf-8,76.42,https://www.suvroghosh.in/,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",,,Suvro Ghosh | Healthcare IT Architect & Clinical Data Systems Consultant,1,Suvro Ghosh,709,2cbdf72b2807786ce7847b518a900b91b928a4b8dd8a130b7e52deca3e696e5a,Person | WebSite,false,false,0,false,,,
https://www.suvroghosh.in/resume,resume,desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",https://www.suvroghosh.in/resume,https://www.suvroghosh.in/resume,200,text/html; charset=utf-8,53.6,https://www.suvroghosh.in/resume,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",,,Resume | Suvro Ghosh | Senior Healthcare IT Architect,1,Suvro Ghosh,1889,17d6e70fda0313acda75826fa21013002363cadae7fbee8ef1e1cd2f3842f942,Periodical | Person | ProfilePage | ScholarlyArticle | WebSite,false,false,0,false,,,
https://www.suvroghosh.in/resume,resume,mobile,"Mozilla/5.0 (Linux; Android 16; Pixel 9 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36",https://www.suvroghosh.in/resume,https://www.suvroghosh.in/resume,200,text/html; charset=utf-8,55.54,https://www.suvroghosh.in/resume,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",,,Resume | Suvro Ghosh | Senior Healthcare IT Architect,1,Suvro Ghosh,1889,17d6e70fda0313acda75826fa21013002363cadae7fbee8ef1e1cd2f3842f942,Periodical | Person | ProfilePage | ScholarlyArticle | WebSite,false,false,0,false,,,
https://www.suvroghosh.in/resume,resume,googlebot,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",https://www.suvroghosh.in/resume,https://www.suvroghosh.in/resume,200,text/html; charset=utf-8,343.88,https://www.suvroghosh.in/resume,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",,,Resume | Suvro Ghosh | Senior Healthcare IT Architect,1,Suvro Ghosh,1889,17d6e70fda0313acda75826fa21013002363cadae7fbee8ef1e1cd2f3842f942,Periodical | Person | ProfilePage | ScholarlyArticle | WebSite,false,false,0,false,,,
