source_file,source_status,source_route,canonical_url,redirect_destination,title,seo_title,description,publication_date,substantive_modification_date,category,tags,series,author,published,body_sha256_normalized,approximate_visible_word_count,paragraph_candidate_count,markdown_h1,headings,opening_paragraph,internal_link_count,external_link_count,source_or_reference_link_count,external_domains,internal_link_targets_sanitized,external_link_targets_sanitized,source_or_reference_urls_sanitized,image_count,empty_image_alt_count,code_fence_count,notebook,title_body_token_overlap_0_1_heuristic,impressions,clicks,average_position,click_through_rate,indexed_status,search_metrics_status,assessment_provenance
src/lib/posts/-a-read-this-first.md,REDIRECT_SOURCE_NOT_CANONICAL,/blog/personal/-a-read-this-first,https://www.suvroghosh.in/blog/personal/schooling-in-calcutta,/blog/personal/schooling-in-calcutta,Schooling in Calcutta,,"A Calcutta self-portrait stitched from school shame, books, bipolar weather, reading, sketches, politics, survival, and the stubborn habit of staying mentally alive.",2024-01-01,2026-07-23,Personal,Less Alone | School | Cossipore | Children | Shame | Childhood | Books | Don’t | Read | English-medium,,,true,6adfc8396f90ebc112133e0c8719c11452d8b7cc8a3bfb9744fef163dc3f8811,3531,47,,,"Acronyms used: ICSE — Indian Certificate of Secondary Education, the school examination many English-medium students in India take around Class 10. WWA — Women’s Welfare Association, part of the old school name, grand in sound if not always visible in daily welfare. US — United States, the country where I studied, worked, bought too many books, and learned …",0,0,0,,,,,5,1,0,,1.000,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,Repository source and frontmatter are observed; word/link counts are deterministic local extraction; overlap is heuristic
src/lib/posts/a-cup-of-cha-is-not-a-small-thing.md,CANONICAL_PUBLISHED_ARTICLE,/blog/essay/a-cup-of-cha-is-not-a-small-thing,https://www.suvroghosh.in/blog/essay/a-cup-of-cha-is-not-a-small-thing,,A Cup of Cha Is Not a Small Thing,,"Tea looks like a humble brown drink, but inside that cup sits China, empire, stolen plants, Bengali roadside life, colonial labor, and the merciless physics of cooling.",2026-06-04,,Essay,Cha | Tea | Chinese | Dutch | British | Plants | Empire | China | Wardian | Porcelain,,,true,8d6449ce928ada6f398737d8143bec8c41a2ca49d35a522920e1d6cba52b5e29,2196,18,,,"EIC: East India Company, the British trading corporation that became powerful enough to collect taxes, run armies, manipulate trade, and generally behave like a government wearing a merchant’s hat.",0,0,0,,,,,1,1,0,,1.000,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,Repository source and frontmatter are observed; word/link counts are deterministic local extraction; overlap is heuristic
src/lib/posts/a-meaningless-number-on-an-average-star.md,CANONICAL_PUBLISHED_ARTICLE,/blog/personal-essay/a-meaningless-number-on-an-average-star,https://www.suvroghosh.in/blog/personal-essay/a-meaningless-number-on-an-average-star,,A Meaningless Number on an Average Star,,"A darkly comic birthday reckoning on superstition, age, ambition, depression, cosmic scale, and the absurd narcissism of attaching destiny to dates.",2024-04-16,,Personal Essay,Infinity | Corner | Infinities | Universe | Cosmic | Existence | Dreams | Date | Meetings | God,,,true,3a08adc8980247d640314c28b59d4bc820164879af9ed1a0b3987e6288438f73,1927,13,,H2: Related Posts,Acronyms expanded in this post: No central technical acronyms need expansion here.,4,0,0,,/blog/memoir/english-medium-urine-stain-and-the-school-that-lit-the-fuse | /blog/personal-essay/why-i-write-what-i-write | /blog/personal-essay/painful-tooth-fairy-calcutta | /blog/politics/political-promises-and-reality,,,1,1,0,,1.000,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,Repository source and frontmatter are observed; word/link counts are deterministic local extraction; overlap is heuristic
src/lib/posts/a-trapezoid-in-low-light.md,CANONICAL_PUBLISHED_ARTICLE,/blog/personal-essay/a-trapezoid-in-low-light,https://www.suvroghosh.in/blog/personal-essay/a-trapezoid-in-low-light,,A Trapezoid in Low Light,,"A Calcutta essay on softening the truth, household kindness, geometry, worry, and the small edits by which a crooked day is made bearable.",2026-06-20,,Personal Essay,Rectangle | Tea,,,true,231dfce3e4178537c9eb1eb2afa971afe3c652dc89c69ea8028ee855879c3bd1,272,2,,,The tea had grown a thin brown skin on top.,0,0,0,,,,,1,0,0,,1.000,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,Repository source and frontmatter are observed; word/link counts are deterministic local extraction; overlap is heuristic
src/lib/posts/administratively-deleted.md,CANONICAL_PUBLISHED_ARTICLE,/blog/personal-essay/administratively-deleted,https://www.suvroghosh.in/blog/personal-essay/administratively-deleted,,Administratively Deleted,,"A personal essay on middle age, social invisibility, worklessness, desire, family usefulness, and the quiet Calcutta bureaucracy of being erased before death.",2026-06-20,,Personal Essay,Erasure | Women | Romance | Death | Thins | Family | Affection | Brochure | Hair | Brain,,,true,8e20131b6150c02a238a120665dfbde16bb5729e8ebf9ef564c84b68386c2c64,2345,25,,,Acronyms and short forms used in this post:,0,0,0,,,,,1,1,0,,0.000,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,Repository source and frontmatter are observed; word/link counts are deterministic local extraction; overlap is heuristic
src/lib/posts/after-america-before-nothing.md,CANONICAL_PUBLISHED_ARTICLE,/blog/personal-essay/after-america-before-nothing,https://www.suvroghosh.in/blog/personal-essay/after-america-before-nothing,,"After America, Before Nothing",,"A personal essay about returning from serious healthcare IT work in America to a small rented Calcutta life, where old competence begins to feel like an expired passport.",2026-06-09,,Personal Essay,America | American | Payment | Data | Healthcare | Past | Systems | Competence | Invoice | Calcutta,,,true,b4ea6e3275efca5ca9a7549f04a7ae842bf713d167cc97bce59eb52256392586,1709,13,,,"Acronyms used: IT means Information Technology, the broad world of computers, software, data, systems, and the human mess glued around them. NIH means National Institutes of Health, the major American federal agency that supports biomedical research. VA means Veterans Affairs, the American healthcare system for military veterans. SQL means Structured Query …",0,0,0,,,,,1,1,0,,1.000,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,Repository source and frontmatter are observed; word/link counts are deterministic local extraction; overlap is heuristic
src/lib/posts/agentic-ai-and-the-asymmetry-of-will.md,CANONICAL_PUBLISHED_ARTICLE,/blog/artificial-intelligence/agentic-ai-and-the-asymmetry-of-will,https://www.suvroghosh.in/blog/artificial-intelligence/agentic-ai-and-the-asymmetry-of-will,,AI Agents Will Not Democratize Power Neatly,,"AI agents change the problem from asking machines questions to delegating action into the world. That does not make power equal; it makes agency abundant, uneven, persistent, and easier to weaponize by those already sitting near the levers.",2026-05-02,,Artificial Intelligence,Decision Support | Agent Asked | Large Language | Agent | Agents | Agency | Prompt | Email | Scarce | Humans,,,true,61b1922c4198849eaa442fd8b4341b0c94d133e47e565a9fd186982d66ea063e,2780,29,,H2: Related Posts,"Acronyms expanded in this post: AI: Artificial Intelligence. software that generates, classifies, predicts, summarizes, or acts on patterns in data. API: Application Programming Interface. a controlled doorway through which software systems exchange data or actions. CAPTCHA: Completely Automated Public Turing test to tell Computers and Humans Apart. a chall…",4,0,0,,/blog/ai-safety/premature-llm-deployment-clinical-trials-ai-safety | /blog/artificial-intelligence/ai-genie-out-of-the-bottle | /blog/artificial-intelligence/anthropic-is-coming-for-wall-street | /blog/politics/political-promises-and-reality,,,1,1,0,,0.600,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,Repository source and frontmatter are observed; word/link counts are deterministic local extraction; overlap is heuristic
src/lib/posts/ai_bengali_songs.md,CANONICAL_PUBLISHED_ARTICLE,/blog/ai-music-song/ai_bengali_songs,https://www.suvroghosh.in/blog/ai-music-song/ai_bengali_songs,,Bengali AI Songs,,"A collection of AI-generated Bengali songs by Suvro Ghosh, with the original music videos.",2026-04-27,,AI Music Song,Tracks Whenever | AI,,,true,273a13f9f310b5d0c63505ec0020bda6a6d79211d6812676288643099b258cb7,26,0,,H3: Refresh often I add new tracks whenever I feel like it | H2: Related Posts,,4,0,0,,/blog/ai-music-song/hindi_ai_songs | /blog/ai-music-song/ai_english_songs | /blog/ai-music-song/ai_music | /blog/personal-essay/chronic-traumatic-nihilism-calcutta,,,0,0,0,,1.000,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,Repository source and frontmatter are observed; word/link counts are deterministic local extraction; overlap is heuristic
src/lib/posts/ai_english_songs.md,CANONICAL_PUBLISHED_ARTICLE,/blog/ai-music-song/ai_english_songs,https://www.suvroghosh.in/blog/ai-music-song/ai_english_songs,,English AI Songs,,"A collection of AI-generated English songs by Suvro Ghosh, with the original music videos.",2026-04-27,,AI Music Song,AI,,,true,7c45a63d0a9dadc14adb9caef075e1529b741c0a1753e93b12668b0fbe07a2ca,33,0,,H2: Related Posts,"Acronyms expanded in this post: AI: Artificial Intelligence. software that generates, classifies, predicts, summarizes, or acts on patterns in data.",4,0,0,,/blog/ai-music-song/ai_music | /blog/ai-music-song/hindi_ai_songs | /blog/natural-history/large-common-insects-and-arachnids-in-urban-calcutta | /blog/ai-music-song/ai_bengali_songs,,,0,0,0,,1.000,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,Repository source and frontmatter are observed; word/link counts are deterministic local extraction; overlap is heuristic
src/lib/posts/ai_music.md,CANONICAL_PUBLISHED_ARTICLE,/blog/ai-music-song/ai_music,https://www.suvroghosh.in/blog/ai-music-song/ai_music,,AI Music,,"A reflection on artificial intelligence, music, authorship, and the strange new machinery of creative production.",2026-04-27,,AI Music Song,AI Songs | AI | Songs,,,true,4a6166f83b73415e9d026c5280ffb420b85275174dce5fb2bc7091abab1a7a81,34,0,,H2: Related Posts,"Acronyms expanded in this post: AI: Artificial Intelligence. software that generates, classifies, predicts, summarizes, or acts on patterns in data.",4,0,0,,/blog/ai-music-song/ai_english_songs | /blog/natural-history/large-common-insects-and-arachnids-in-urban-calcutta | /blog/ai-music-song/ai_bengali_songs | /blog/ai-music-song/hindi_ai_songs,,,0,0,0,,1.000,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,Repository source and frontmatter are observed; word/link counts are deterministic local extraction; overlap is heuristic
